Slangword,Kata Baku
aaya,saya
acaknya,acak
ad,ada
adaaa,ada
adanya,ada
ads,iklan
aduhhh,aduh
aflikasinya,aplikasi
aiing,saya
aim,saya
aing,saya
ajah,saja
ajg,anjing
ajip,anjing
ak,saya
akeh,banyak
aki,saya
aktipitasnya,aktivitas
all,semua
almbum,album
already,sudah
alternative,alternatif
always,selalu
amat,sangat
amazing,takjub
ampl,aplikasi
amplikasi,aplikasi
and,dan
android,aplikasi
ane,saya
anehnya,aneh
anid,dan
anj,anjing
anjas,anjing
anjg,anjing
anjim,anjing
anjir,anjing
anjj,anjing
anjng,anjing
ap,apa
apalgi,apa
apansi,apa
apik,bagus
apikkk,bagus
apk,aplikasi
apkikasiy,aplikasi
apkl,aplikasi
apknya,aplikasi
apl,aplikasi
aplication,aplikasi
aplikasiny,aplikasi
aplikasinya,aplikasi
apliksi,aplikasi
aplksinya,aplikasi
app,aplikasi
app,aplikasi
application,aplikasi
applikasi,aplikasi
applikasinya,aplikasi
apps,aplikasi
aq,saya
asiiik,seru
asliiii,asli
asuu,anjing
asuuuu,anjing
at all,semua
ataupun,atau
atsudtrr,absurd
audionya,audio
auto,otomatis
awa,saya
awesome,keren
ay,saya
b,biasa
bae,saja
bagiin,bagi
bagu,bagus
bagusnya,bagus
baguss,bagus
baguss,bagus
bagusss,bagus
bagussss,bagus
bagusssss,bagus
baguuuusss,bagus
baguuuusssssss,bagus
band,grup
bang,kakak
bangett,banget
bangettt,banget
bangettttt,banget
bangeut,banget
banh,banget
bantuana,bantu
bantuin,bantu
banyakk,banyak
barangnya,barang
barunya,baru
bat,banget
batasnya,batas
be,saja
bebass,bebas
because,karena
begitulah,begitu
bembohongan,bohong
benarrrrrrr,benar
bener,benar
beraktivitas,aktivitas
berduit,uang
beriklan,iklan
berkwalitas,kualitas
berkwslitas,kualitas
bermodern,modern
best,baik
bet,baik
bgs,bagus
bgsd,bangsat
bgt,banget
bgtt,banget
bgttt,banget
bgus,bagus
bguss,bagus
bgusss,bagus
biasanya,biasa
bilng,bilang
bingitt,banget
bingun,bingung
bintan,bintang
bisaa,bisa
bissa,bisa
bkin,bikin
blg,bilang
blikinnya,balik
blom,belum
bnget,banget
bngt,banget
bntng,bintang
bnyak,banyak
bnyk,banyak
boys,laki
bravo,bagus
brmanfaat,manfaat
bro,kakak
bruh,kakak
bs,bisa
bsa,bisa
bsh,basah
buangett,banget
buffering,gangguan
bug,gangguan
bugusss,bagus
buruh,baru
buwat,buat
buy,beli
bwagwuws,bagus
bwangwe,banget
by,banyak
byk,banyak
byr,bayar
cant,tidak
canvas,kanvas
cepet,cepat
cftakan,cetak
ciptainnn,cipta
ckp,bagus
cm,cuman
cmn,cuman
cnth,contoh
complete,lengkap
covrer,sampul
cr,cari
critanya,cerita
cumn,cuman
d,di
da bes,terbaik
dapet,dapat
dat,data
dechh,deh
degna,dengan
dehhhh,deh
dengarkan,dengar
denger,dengar
dengerin,dengar
depannya,depan
dgn,dengan
dgr,dengar
dgrin,dengar
diakses,akses
diaktifiin,aktif
diaktifin,aktif
dianggap,anggap
diatur,atur
dibatalin,batal
dibatasi,batas
dibuka,buka
dicari,cari
didengar,dengar
didengarkan,dengar
didengerin,dengar
didownload,unduh
dihapus,hapus
diinginkan,mau
dikala,kala
dikatai,katai
diklik,klik
dilakuin,melakukan
diliat,lihat
diluar,luar
dipaksa,aksa
diperbaiki,perbaikan
diperbaikin,perbaikan
diperbanyak,banyak
diplay,putar
diputar,putar
diputerin,putar
disaat,saat
disaya,saya
disetel,setel
disini,sini
dispotify,spotify
disukai,suka
disulitkan,sulit
disuruh,suruh
ditablet,tablet
ditambah,tambah
ditambahin,tambah
ditayangkan,tayang
ditemukan,temu
ditingkatkan,tingkat
diupdate,membarui
diurut,urut
dl,dulu
dlu,dulu
dn,dan
dnger,dengar
do,apakah
dont,tidak
dongkol,kesal
donh,dong
donk,dong
donlot,unduh
donlwoad,unduh
dowload,unduh
dowlod,unduh
download,unduh
durasinya,durasi
dwonlod,unduh
ehh,eh
